user_id,event_date,event_type,event_count
1,2025-01-22,view_product,1
1,2025-02-01,view_product,1
1,2025-02-07,app_open,1
1,2025-02-14,purchase,1
1,2025-03-03,view_product,1
1,2025-04-06,app_open,1
1,2025-05-10,view_product,1
1,2025-06-02,app_open,1
1,2025-06-20,app_open,1
1,2025-07-04,app_open,1
1,2025-08-20,add_to_cart,1
1,2025-09-26,app_open,1
1,2025-12-08,view_product,1
2,2025-01-15,app_open,1
2,2025-04-11,app_open,1
2,2025-04-17,app_open,1
2,2025-04-29,view_product,1
2,2025-05-13,app_open,1
2,2025-05-16,purchase,1
2,2025-06-10,add_to_cart,1
2,2025-08-04,purchase,1
2,2025-09-23,add_to_cart,1
2,2025-10-22,app_open,1
2,2025-11-12,app_open,1
3,2025-01-29,app_open,1
3,2025-02-11,app_open,1
3,2025-03-12,app_open,1
3,2025-03-24,add_to_cart,1
3,2025-03-24,app_open,1
3,2025-03-25,app_open,1
3,2025-05-11,app_open,1
3,2025-05-23,view_product,1
3,2025-05-24,view_product,1
3,2025-06-03,app_open,1
3,2025-06-12,view_product,1
3,2025-09-06,app_open,1
3,2025-10-14,purchase,1
3,2025-10-26,add_to_cart,1
3,2025-11-12,app_open,1
3,2025-11-18,add_to_cart,1
4,2025-02-11,view_product,1
4,2025-06-29,view_product,1
4,2025-08-08,purchase,1
4,2025-09-06,add_to_cart,1
4,2025-09-21,app_open,1
4,2025-11-20,purchase,1
4,2025-12-07,view_product,1
5,2025-01-21,view_product,1
5,2025-01-25,app_open,1
5,2025-02-19,add_to_cart,1
5,2025-02-20,view_product,1
5,2025-02-24,app_open,1
5,2025-04-29,view_product,1
5,2025-05-02,app_open,1
5,2025-07-13,app_open,1
5,2025-07-20,view_product,1
5,2025-07-24,view_product,1
5,2025-07-25,purchase,1
6,2025-01-15,view_product,1
6,2025-02-16,add_to_cart,1
6,2025-03-16,app_open,1
6,2025-04-02,app_open,1
6,2025-08-08,app_open,1
6,2025-10-08,add_to_cart,1
6,2025-11-18,app_open,1
7,2025-01-21,app_open,1
7,2025-02-10,app_open,1
7,2025-02-26,view_product,1
7,2025-03-28,add_to_cart,1
7,2025-05-07,add_to_cart,1
7,2025-05-29,app_open,1
7,2025-06-13,view_product,1
7,2025-06-21,purchase,1
7,2025-10-20,app_open,1
7,2025-10-28,app_open,1
8,2025-01-25,add_to_cart,1
8,2025-02-27,app_open,1
8,2025-03-22,view_product,1
8,2025-04-05,view_product,1
8,2025-05-03,view_product,1
8,2025-09-10,app_open,1
9,2025-02-09,view_product,1
9,2025-03-26,app_open,1
9,2025-05-22,app_open,1
9,2025-08-23,app_open,1
9,2025-10-02,add_to_cart,1
9,2025-10-22,add_to_cart,1
9,2025-11-23,purchase,1
9,2025-11-24,app_open,1
9,2025-12-16,purchase,1
9,2025-12-17,add_to_cart,1
10,2025-01-13,add_to_cart,1
10,2025-02-11,app_open,1
10,2025-03-03,purchase,1
10,2025-05-06,app_open,1
10,2025-05-09,view_product,1
10,2025-05-13,view_product,1
10,2025-08-04,add_to_cart,1
10,2025-08-09,app_open,1
10,2025-12-25,view_product,1
10,2025-12-28,app_open,1
11,2025-01-01,view_product,1
11,2025-07-26,purchase,1
11,2025-08-26,view_product,1
11,2025-09-16,app_open,1
11,2025-12-10,view_product,1
12,2025-03-23,view_product,1
12,2025-04-11,app_open,1
12,2025-04-18,view_product,1
12,2025-04-30,app_open,1
12,2025-05-18,view_product,1
12,2025-06-04,app_open,1
12,2025-07-12,app_open,1
12,2025-09-02,view_product,1
12,2025-09-28,view_product,1
12,2025-11-17,view_product,1
12,2025-12-22,app_open,1
12,2025-12-28,purchase,1
13,2025-02-13,app_open,1
13,2025-02-16,view_product,1
13,2025-04-17,add_to_cart,1
13,2025-08-16,add_to_cart,1
13,2025-11-30,app_open,1
13,2025-12-22,app_open,1
14,2025-01-01,app_open,1
14,2025-01-08,view_product,1
14,2025-02-23,view_product,1
14,2025-03-09,view_product,1
14,2025-12-17,add_to_cart,1
15,2025-01-11,view_product,1
15,2025-02-12,add_to_cart,1
15,2025-04-10,view_product,1
15,2025-05-12,view_product,1
15,2025-05-22,add_to_cart,1
15,2025-05-25,app_open,1
15,2025-05-26,add_to_cart,1
15,2025-05-27,app_open,1
15,2025-07-30,view_product,1
15,2025-07-31,view_product,1
15,2025-08-06,view_product,1
15,2025-08-23,view_product,1
15,2025-08-26,add_to_cart,1
15,2025-09-27,app_open,1
15,2025-11-13,view_product,1
15,2025-11-28,view_product,1
16,2025-01-30,app_open,1
16,2025-02-18,view_product,1
16,2025-04-05,add_to_cart,1
16,2025-04-12,view_product,1
16,2025-05-27,purchase,1
16,2025-06-16,view_product,1
16,2025-07-09,app_open,1
16,2025-07-24,app_open,1
16,2025-07-28,app_open,1
16,2025-09-15,add_to_cart,1
16,2025-10-07,view_product,1
16,2025-11-04,add_to_cart,1
17,2025-01-05,view_product,1
17,2025-02-16,add_to_cart,1
17,2025-06-29,app_open,1
17,2025-08-25,app_open,1
17,2025-12-26,view_product,1
17,2025-12-28,app_open,1
18,2025-01-02,app_open,1
18,2025-01-16,view_product,1
18,2025-02-18,app_open,1
18,2025-03-14,add_to_cart,1
18,2025-03-16,app_open,1
18,2025-04-10,add_to_cart,1
18,2025-04-30,view_product,1
18,2025-07-01,view_product,1
18,2025-07-02,view_product,1
18,2025-09-17,app_open,1
19,2025-01-24,app_open,1
19,2025-02-09,app_open,1
19,2025-04-17,view_product,1
19,2025-05-14,app_open,1
19,2025-05-16,app_open,1
19,2025-07-30,purchase,1
19,2025-09-05,view_product,1
19,2025-11-09,app_open,1
19,2025-11-14,app_open,1
19,2025-11-17,app_open,1
19,2025-11-19,app_open,1
19,2025-11-20,app_open,1
19,2025-12-25,add_to_cart,1
20,2025-04-01,app_open,1
20,2025-04-23,app_open,1
20,2025-09-21,view_product,1
20,2025-09-25,add_to_cart,1
20,2025-10-31,app_open,1
20,2025-11-20,purchase,1
20,2025-12-11,purchase,1
21,2025-01-06,app_open,1
21,2025-01-14,purchase,1
21,2025-02-02,purchase,1
21,2025-02-17,view_product,1
21,2025-03-02,add_to_cart,1
21,2025-03-02,app_open,1
21,2025-04-09,app_open,1
21,2025-04-25,add_to_cart,1
21,2025-04-26,app_open,1
21,2025-05-10,purchase,1
21,2025-06-06,app_open,1
21,2025-09-01,add_to_cart,1
21,2025-11-04,view_product,1
21,2025-11-22,view_product,1
21,2025-12-13,view_product,1
21,2025-12-16,purchase,1
22,2025-01-07,app_open,1
22,2025-01-13,app_open,1
22,2025-01-30,add_to_cart,1
22,2025-02-11,app_open,1
22,2025-02-16,purchase,1
22,2025-03-02,view_product,1
22,2025-03-12,add_to_cart,1
22,2025-03-27,view_product,1
22,2025-06-26,app_open,1
22,2025-09-09,view_product,1
22,2025-11-19,app_open,1
22,2025-11-27,add_to_cart,1
23,2025-02-06,app_open,1
23,2025-02-24,app_open,1
23,2025-05-31,app_open,1
23,2025-06-19,app_open,1
23,2025-06-28,add_to_cart,1
23,2025-09-20,view_product,1
23,2025-09-25,app_open,1
23,2025-11-18,view_product,1
23,2025-12-24,view_product,1
24,2025-02-01,view_product,1
24,2025-03-11,view_product,1
24,2025-03-19,app_open,1
24,2025-04-04,purchase,1
24,2025-04-10,view_product,1
24,2025-05-06,view_product,1
24,2025-07-19,app_open,1
24,2025-10-01,app_open,1
24,2025-10-11,add_to_cart,1
24,2025-11-25,view_product,1
24,2025-12-04,add_to_cart,1
25,2025-02-23,app_open,1
25,2025-04-04,view_product,1
25,2025-04-08,app_open,1
25,2025-05-05,app_open,1
25,2025-06-08,view_product,1
25,2025-07-01,app_open,1
25,2025-07-23,app_open,1
25,2025-08-01,view_product,1
25,2025-08-22,app_open,1
25,2025-09-02,view_product,1
25,2025-10-19,purchase,1
25,2025-12-07,add_to_cart,1
25,2025-12-14,purchase,1
26,2025-01-25,app_open,1
26,2025-03-06,view_product,1
26,2025-03-21,app_open,1
26,2025-03-21,purchase,1
26,2025-03-29,view_product,1
26,2025-06-11,app_open,1
26,2025-06-13,view_product,1
26,2025-06-29,app_open,1
26,2025-09-13,purchase,1
26,2025-10-07,app_open,1
26,2025-11-17,add_to_cart,1
26,2025-12-19,app_open,1
26,2025-12-30,add_to_cart,1
27,2025-04-25,view_product,1
27,2025-05-14,add_to_cart,1
27,2025-06-15,view_product,1
27,2025-07-29,app_open,2
27,2025-12-22,view_product,1
28,2025-03-13,app_open,1
28,2025-04-06,app_open,1
28,2025-07-02,app_open,1
28,2025-08-26,view_product,1
28,2025-08-30,app_open,1
29,2025-01-20,add_to_cart,1
29,2025-01-30,app_open,1
29,2025-02-27,app_open,1
29,2025-04-17,add_to_cart,1
29,2025-04-19,add_to_cart,1
29,2025-04-22,view_product,1
29,2025-05-19,app_open,1
29,2025-09-09,view_product,1
29,2025-09-10,app_open,1
29,2025-10-26,add_to_cart,1
29,2025-11-05,purchase,1
29,2025-12-10,view_product,1
30,2025-01-15,app_open,1
30,2025-04-01,add_to_cart,1
30,2025-05-23,app_open,1
30,2025-06-12,add_to_cart,1
30,2025-06-23,add_to_cart,1
30,2025-07-11,app_open,1
30,2025-07-21,view_product,1
30,2025-08-15,app_open,1
30,2025-08-31,app_open,1
30,2025-09-04,view_product,1
30,2025-10-12,purchase,1
30,2025-10-26,app_open,1
30,2025-11-12,app_open,1
31,2025-01-11,view_product,1
31,2025-01-22,add_to_cart,1
31,2025-03-06,add_to_cart,1
31,2025-05-29,app_open,1
31,2025-07-19,view_product,1
31,2025-08-24,view_product,1
31,2025-09-05,app_open,1
31,2025-09-15,view_product,1
31,2025-09-21,view_product,1
31,2025-09-24,view_product,1
31,2025-10-23,add_to_cart,1
31,2025-12-09,purchase,1
31,2025-12-12,app_open,1
31,2025-12-27,view_product,1
32,2025-01-26,view_product,1
32,2025-04-11,add_to_cart,1
32,2025-07-20,app_open,1
32,2025-07-26,app_open,1
32,2025-07-26,view_product,1
32,2025-07-27,purchase,1
32,2025-08-18,add_to_cart,1
32,2025-12-18,app_open,1
32,2025-12-23,view_product,1
33,2025-02-01,app_open,1
33,2025-06-17,add_to_cart,1
33,2025-07-15,purchase,1
33,2025-07-19,view_product,1
33,2025-08-16,app_open,1
33,2025-09-07,app_open,1
33,2025-11-14,app_open,1
34,2025-07-04,app_open,1
34,2025-08-16,add_to_cart,1
34,2025-09-17,view_product,1
34,2025-11-16,add_to_cart,1
34,2025-12-29,view_product,1
35,2025-01-05,app_open,1
35,2025-01-27,add_to_cart,1
35,2025-03-02,app_open,1
35,2025-03-31,app_open,1
35,2025-06-05,app_open,1
35,2025-06-09,view_product,1
35,2025-07-06,view_product,1
35,2025-09-02,app_open,1
35,2025-09-13,view_product,1
36,2025-02-08,app_open,2
36,2025-02-09,purchase,1
36,2025-02-15,purchase,1
36,2025-04-12,add_to_cart,1
36,2025-04-19,view_product,1
36,2025-08-17,view_product,1
36,2025-10-04,add_to_cart,1
36,2025-10-10,app_open,1
36,2025-10-15,view_product,1
37,2025-04-27,view_product,1
37,2025-04-28,view_product,1
37,2025-06-14,purchase,1
37,2025-06-21,app_open,1
37,2025-07-09,add_to_cart,1
37,2025-07-15,app_open,1
37,2025-07-30,view_product,1
37,2025-09-06,view_product,1
37,2025-09-26,add_to_cart,1
38,2025-01-18,app_open,1
38,2025-01-25,purchase,1
38,2025-02-03,view_product,1
38,2025-02-28,app_open,1
38,2025-03-17,app_open,1
